Gene	GeneName	LengthPI	TotalVariants	UniqueProteinVariants	UniqueCodingExons
109	ADCY3 adenylate cyclase 3	1145	18	18	27
111	ADCY5 adenylate cyclase 5	1261	12	10	29
112	ADCY6 adenylate cyclase 6	1168	3	2	24
113	ADCY7 adenylate cyclase 7	1080	14	5	30
114	ADCY8 adenylate cyclase 8	1251	5	5	25
163859	SDE2 SDE2 telomere maintenance homolog	451	1	1	7
116	ADCYAP1 adenylate cyclase activating polypeptide 1	176	3	2	7
117	ADCYAP1R1 ADCYAP receptor type I	496	9	9	19
118	ADD1 adducin 1	662	18	8	21
119	ADD2 adducin 2	726	6	4	18
120	ADD3 adducin 3	706	7	3	14
123	PLIN2 perilipin 2	437	2	2	9
124	ADH1A alcohol dehydrogenase 1A (class I), alpha polypeptide	375	1	1	9
125	ADH1B alcohol dehydrogenase 1B (class I), beta polypeptide	375	2	2	9
126	ADH1C alcohol dehydrogenase 1C (class I), gamma polypeptide	375	3	3	10
127	ADH4 alcohol dehydrogenase 4 (class II), pi polypeptide	399	6	4	13
128	ADH5 alcohol dehydrogenase 5 (class III), chi polypeptide	374	1	1	9
130	ADH6 alcohol dehydrogenase 6 (class V)	375	2	2	10
131	ADH7 alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	394	2	2	10
132	ADK adenosine kinase	362	13	13	20
133	ADM adrenomedullin	185	1	1	3
134	ADORA1 adenosine A1 receptor	326	5	2	3
196743	PAOX polyamine oxidase	511	3	3	7
136	ADORA2B adenosine A2b receptor	332	4	4	7
100128108	LOC100128108 putative ubiquitin-conjugating enzyme E2Q2-like protein	135	5	3	7
140	ADORA3 adenosine A3 receptor	318	3	3	3
141	ADPRH ADP-ribosylarginine hydrolase	357	4	2	4
142	PARP1 poly(ADP-ribose) polymerase 1	1014	1	1	23
143	PARP4 poly(ADP-ribose) polymerase family member 4	1724	3	2	35
221504	ZBTB9 zinc finger and BTB domain containing 9	473	1	1	1
131096	KCNH8 potassium voltage-gated channel subfamily H member 8	1107	7	6	22
146	ADRA1D adrenoceptor alpha 1D	572	1	1	2
147	ADRA1B adrenoceptor alpha 1B	520	7	7	9
148	ADRA1A adrenoceptor alpha 1A	475	14	10	12
150	ADRA2A adrenoceptor alpha 2A	465	1	1	1
151	ADRA2B adrenoceptor alpha 2B	450	1	1	1
152	ADRA2C adrenoceptor alpha 2C	462	1	1	1
153	ADRB1 adrenoceptor beta 1	477	1	1	1
154	ADRB2 adrenoceptor beta 2	413	1	1	1
155	ADRB3 adrenoceptor beta 3	408	1	1	2
156	GRK2 G protein-coupled receptor kinase 2	689	2	2	23
157	GRK3 G protein-coupled receptor kinase 3	688	2	2	22
158	ADSL adenylosuccinate lyase	484	11	11	21
159	ADSS adenylosuccinate synthase	456	2	2	15
160	AP2A1 adaptor related protein complex 2 alpha 1 subunit	977	4	4	27
161	AP2A2 adaptor related protein complex 2 alpha 2 subunit	940	4	4	26
162	AP1B1 adaptor related protein complex 1 beta 1 subunit	949	3	3	23
163	AP2B1 adaptor related protein complex 2 beta 1 subunit	951	17	8	25
164	AP1G1 adaptor related protein complex 1 gamma 1 subunit	825	2	2	23
165	AEBP1 AE binding protein 1	1158	2	2	23
166	AES amino-terminal enhancer of split	264	4	4	10
167	CRISP1 cysteine rich secretory protein 1	249	6	3	8
173	AFM afamin	599	4	4	21
174	AFP alpha fetoprotein	609	1	1	14
175	AGA aspartylglucosaminidase	346	2	2	11
176	ACAN aggrecan	2530	8	8	21
177	AGER advanced glycosylation end-product specific receptor	420	10	9	18
178	AGL amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1532	8	4	38
181	AGRP agouti related neuropeptide	132	1	1	3
182	JAG1 jagged 1	1218	2	2	26
183	AGT angiotensinogen	485	1	1	4
196792	FAM24B family with sequence similarity 24 member B	94	2	1	3
185	AGTR1 angiotensin II receptor type 1	394	5	3	3
186	AGTR2 angiotensin II receptor type 2	363	2	1	1
187	APLNR apelin receptor	380	1	1	1
189	AGXT alanine-glyoxylate aminotransferase	392	1	1	11
190	NR0B1 nuclear receptor subfamily 0 group B member 1	470	2	2	4
191	AHCY adenosylhomocysteinase	434	13	4	17
27339	PRPF19 pre-mRNA processing factor 19	504	1	1	16
196	AHR aryl hydrocarbon receptor	848	1	1	11
197	AHSG alpha 2-HS glycoprotein	367	2	2	8
199	AIF1 allograft inflammatory factor 1	147	5	4	9
202	CRYBG1 crystallin beta-gamma domain containing 1	1723	3	3	24
203	AK1 adenylate kinase 1	210	5	2	8
204	AK2 adenylate kinase 2	232	8	8	10
205	AK4 adenylate kinase 4	223	5	2	7
207	AKT1 AKT serine/threonine kinase 1	480	8	2	14
208	AKT2 AKT serine/threonine kinase 2	481	12	4	15
210	ALAD aminolevulinate dehydratase	359	4	4	12
211	ALAS1 5'-aminolevulinate synthase 1	657	7	5	13
212	ALAS2 5'-aminolevulinate synthase 2	587	6	6	12
213	ALB albumin	609	1	1	14
214	ALCAM activated leukocyte cell adhesion molecule	583	4	4	17
215	ABCD1 ATP binding cassette subfamily D member 1	745	1	1	10
216	ALDH1A1 aldehyde dehydrogenase 1 family member A1	501	1	1	13
217	ALDH2 aldehyde dehydrogenase 2 family member	517	2	2	13
218	ALDH3A1 aldehyde dehydrogenase 3 family member A1	453	8	3	12
219	ALDH1B1 aldehyde dehydrogenase 1 family member B1	517	2	1	1
220	ALDH1A3 aldehyde dehydrogenase 1 family member A3	512	2	2	13
221	ALDH3B1 aldehyde dehydrogenase 3 family member B1	468	5	4	10
222	ALDH3B2 aldehyde dehydrogenase 3 family member B2	385	2	1	8
223	ALDH9A1 aldehyde dehydrogenase 9 family member A1	518	2	2	12
224	ALDH3A2 aldehyde dehydrogenase 3 family member A2	508	8	3	15
225	ABCD2 ATP binding cassette subfamily D member 2	740	5	4	15
226	ALDOA aldolase, fructose-bisphosphate A	418	6	2	10
55655	NLRP2 NLR family pyrin domain containing 2	1039	4	3	14
229	ALDOB aldolase, fructose-bisphosphate B	364	1	1	8
230	ALDOC aldolase, fructose-bisphosphate C	364	3	1	8
231	AKR1B1 aldo-keto reductase family 1 member B	316	2	2	12
238	ALK ALK receptor tyrosine kinase	1620	1	1	29
239	ALOX12 arachidonate 12-lipoxygenase, 12S type	663	2	2	17
240	ALOX5 arachidonate 5-lipoxygenase	674	6	5	17
241	ALOX5AP arachidonate 5-lipoxygenase activating protein	218	3	3	9
242	ALOX12B arachidonate 12-lipoxygenase, 12R type	701	1	1	15
246	ALOX15 arachidonate 15-lipoxygenase	662	1	1	14
247	ALOX15B arachidonate 15-lipoxygenase, type B	676	3	3	15
248	ALPI alkaline phosphatase, intestinal	528	1	1	11
249	ALPL alkaline phosphatase, liver/bone/kidney	524	6	4	13
250	ALPP alkaline phosphatase, placental	535	1	1	11
164091	PAQR7 progestin and adipoQ receptor family member 7	346	5	1	1
338645	LUZP2 leucine zipper protein 2	346	8	8	19
257	ALX3 ALX homeobox 3	343	1	1	4
258	AMBN ameloblastin	447	1	1	13
259	AMBP alpha-1-microglobulin/bikunin precursor	352	1	1	10
92747	BPIFB1 BPI fold containing family B member 1	484	1	1	15
262	AMD1 adenosylmethionine decarboxylase 1	334	4	4	9
265	AMELX amelogenin, X-linked	205	4	4	8
266	AMELY amelogenin, Y-linked	192	2	2	7
267	AMFR autocrine motility factor receptor	675	4	3	16
268	AMH anti-Mullerian hormone	560	1	1	5
269	AMHR2 anti-Mullerian hormone receptor type 2	573	16	16	22
270	AMPD1 adenosine monophosphate deaminase 1	780	2	2	16
271	AMPD2 adenosine monophosphate deaminase 2	879	6	5	21
272	AMPD3 adenosine monophosphate deaminase 3	776	5	4	16
273	AMPH amphiphysin	695	8	8	27
274	BIN1 bridging integrator 1	593	39	39	26
275	AMT aminomethyltransferase	386	4	4	11
276	AMY1A amylase, alpha 1A (salivary)	511	2	1	10
164118	TTC24 tetratricopeptide repeat domain 24	582	5	5	16
279	AMY2A amylase, alpha 2A (pancreatic)	511	1	1	10
280	AMY2B amylase, alpha 2B (pancreatic)	511	1	1	10
283	ANG angiogenin	147	2	1	1
284	ANGPT1 angiopoietin 1	498	3	3	10
285	ANGPT2 angiopoietin 2	496	4	4	12
286	ANK1 ankyrin 1	1897	31	31	62
287	ANK2 ankyrin 2	3957	50	50	64
288	ANK3 ankyrin 3	4377	51	51	59
290	ANPEP alanyl aminopeptidase, membrane	967	3	1	22
291	SLC25A4 solute carrier family 25 member 4	298	1	1	4
292	SLC25A5 solute carrier family 25 member 5	298	1	1	4
293	SLC25A6 solute carrier family 25 member 6	298	1	1	4
131368	ZPLD1 zona pellucida like domain containing 1	431	3	2	11
301	ANXA1 annexin A1	346	3	2	13
302	ANXA2 annexin A2	357	9	3	14
131375	LYZL4 lysozyme like 4	146	5	2	6
131377	KLHL40 kelch like family member 40	621	1	1	6
306	ANXA3 annexin A3	323	1	1	12
307	ANXA4 annexin A4	321	6	3	14
308	ANXA5 annexin A5	320	2	2	13
309	ANXA6 annexin A6	673	3	3	26
310	ANXA7 annexin A7	488	6	4	14
311	ANXA11 annexin A11	505	12	4	17
312	ANXA13 annexin A13	357	2	2	12
313	AOAH acyloxyacyl hydrolase	688	17	17	35
314	AOC2 amine oxidase, copper containing 2	756	2	2	5
316	AOX1 aldehyde oxidase 1	1338	4	4	39
317	APAF1 apoptotic peptidase activating factor 1	1248	6	6	28
318	NUDT2 nudix hydrolase 2	147	4	1	2
319	APOF apolipoprotein F	326	1	1	2
320	APBA1 amyloid beta precursor protein binding family A member 1	837	4	2	13
321	APBA2 amyloid beta precursor protein binding family A member 2	749	28	6	16
322	APBB1 amyloid beta precursor protein binding family B member 1	710	23	14	21
323	APBB2 amyloid beta precursor protein binding family B member 2	759	36	16	20
324	APC APC, WNT signaling pathway regulator	2843	3	2	16
325	APCS amyloid P component, serum	223	1	1	2
326	AIRE autoimmune regulator	545	1	1	14
327	APEH acylaminoacyl-peptide hydrolase	732	11	8	30
328	APEX1 apurinic/apyrimidinic endodeoxyribonuclease 1	318	4	1	4
329	BIRC2 baculoviral IAP repeat containing 2	618	3	2	9
330	BIRC3 baculoviral IAP repeat containing 3	604	3	1	10
331	XIAP X-linked inhibitor of apoptosis	497	4	1	8
332	BIRC5 baculoviral IAP repeat containing 5	165	3	3	5
333	APLP1 amyloid beta precursor like protein 1	651	4	4	19
334	APLP2 amyloid beta precursor like protein 2	763	5	5	19
335	APOA1 apolipoprotein A1	267	4	2	3
131408	FAM131A family with sequence similarity 131 member A	366	5	2	6
337	APOA4 apolipoprotein A4	396	1	1	3
338	APOB apolipoprotein B	4563	1	1	29
339	APOBEC1 apolipoprotein B mRNA editing enzyme catalytic subunit 1	236	3	2	6
341	APOC1 apolipoprotein C1	83	3	1	3
196951	FAM227B family with sequence similarity 227 member B	508	25	19	22
344	APOC2 apolipoprotein C2	101	1	1	3
345	APOC3 apolipoprotein C3	99	1	1	3
346	APOC4 apolipoprotein C4	127	1	1	3
347	APOD apolipoprotein D	189	1	1	4
348	APOE apolipoprotein E	343	5	2	5
350	APOH apolipoprotein H	345	1	1	8
351	APP amyloid beta precursor protein	770	10	10	19
353	APRT adenine phosphoribosyltransferase	180	2	2	6
354	KLK3 kallikrein related peptidase 3	261	3	3	7
355	FAS Fas cell surface death receptor	335	9	8	14
356	FASLG Fas ligand	281	2	2	4
357	SHROOM2 shroom family member 2	1616	8	4	12
358	AQP1 aquaporin 1 (Colton blood group)	269	4	4	7
359	AQP2 aquaporin 2	271	1	1	4
360	AQP3 aquaporin 3 (Gill blood group)	292	2	2	6
361	AQP4 aquaporin 4	352	5	5	7
362	AQP5 aquaporin 5	265	2	2	6
363	AQP6 aquaporin 6	282	1	1	4
364	AQP7 aquaporin 7	342	15	8	14
366	AQP9 aquaporin 9	295	3	3	7
367	AR androgen receptor	920	2	2	9
368	ABCC6 ATP binding cassette subfamily C member 6	1503	9	7	38
369	ARAF A-Raf proto-oncogene, serine/threonine kinase	609	7	5	19
372	ARCN1 archain 1	511	3	3	12
373	TRIM23 tripartite motif containing 23	569	5	4	17
374	AREG amphiregulin	252	1	1	5
375	ARF1 ADP ribosylation factor 1	181	5	2	5
377	ARF3 ADP ribosylation factor 3	181	3	2	6
131450	CD200R1 CD200 receptor 1	348	4	4	9
379	ARL4D ADP ribosylation factor like GTPase 4D	201	2	1	1
381	ARF5 ADP ribosylation factor 5	180	1	1	6
382	ARF6 ADP ribosylation factor 6	175	1	1	1
383	ARG1 arginase 1	330	3	3	10
384	ARG2 arginase 2	354	1	1	8
196993	CT62 cancer/testis antigen 62	136	2	1	2
387	RHOA ras homolog family member A	187	7	6	7
196996	GRAMD2A GRAM domain containing 2A	354	10	8	17
389	RHOC ras homolog family member C	193	3	1	4
390	RND3 Rho family GTPase 3	244	2	1	7
391	RHOG ras homolog family member G	191	3	1	1
392	ARHGAP1 Rho GTPase activating protein 1	439	3	2	13
393	ARHGAP4 Rho GTPase activating protein 4	986	2	2	23
394	ARHGAP5 Rho GTPase activating protein 5	1502	6	2	8
395	ARHGAP6 Rho GTPase activating protein 6	974	4	4	15
396	ARHGDIA Rho GDP dissociation inhibitor alpha	337	8	5	10
164237	WFDC13 WAP four-disulfide core domain 13	93	1	1	3
398	ARHGDIG Rho GDP dissociation inhibitor gamma	225	1	1	6
399	RHOH ras homolog family member H	191	15	1	2
400	ARL1 ADP ribosylation factor like GTPase 1	181	2	2	6
401	PHOX2A paired like homeobox 2a	284	1	1	3
402	ARL2 ADP ribosylation factor like GTPase 2	184	2	2	5
403	ARL3 ADP ribosylation factor like GTPase 3	182	2	1	8
405	ARNT aryl hydrocarbon receptor nuclear translocator	789	24	22	31
406	ARNTL aryl hydrocarbon receptor nuclear translocator like	626	27	12	26
407	ARR3 arrestin 3	388	2	2	19
408	ARRB1 arrestin beta 1	418	9	9	21
409	ARRB2 arrestin beta 2	430	9	9	19
410	ARSA arylsulfatase A	509	8	4	12
411	ARSB arylsulfatase B	533	7	6	15
412	STS steroid sulfatase	590	6	3	11
197021	LCTL lactase like	567	3	3	15
414	ARSD arylsulfatase D	593	4	4	14
415	ARSE arylsulfatase E (chondrodysplasia punctata 1)	614	9	7	15
416	ARSF arylsulfatase F	590	8	6	14
417	ART1 ADP-ribosyltransferase 1	327	3	1	6
419	ART3 ADP-ribosyltransferase 3	389	14	14	15
420	ART4 ADP-ribosyltransferase 4 (Dombrock blood group)	314	1	1	3
421	ARVCF ARVCF, delta catenin family member	962	16	15	26
427	ASAH1 N-acylsphingosine amidohydrolase 1	411	4	4	18
429	ASCL1 achaete-scute family bHLH transcription factor 1	236	1	1	1
430	ASCL2 achaete-scute family bHLH transcription factor 2	193	1	1	1
432	ASGR1 asialoglycoprotein receptor 1	291	3	2	9
433	ASGR2 asialoglycoprotein receptor 2	311	16	10	15
434	ASIP agouti signaling protein	132	4	2	5
435	ASL argininosuccinate lyase	464	4	3	17
438	ASMT acetylserotonin O-methyltransferase	373	3	2	10
65975	STK33 serine/threonine kinase 33	514	34	6	15
440	ASNS asparagine synthetase (glutamine-hydrolyzing)	561	6	3	12
65977	PLEKHA3 pleckstrin homology domain containing A3	300	2	2	9
65979	PHACTR4 phosphatase and actin regulator 4	712	20	11	20
65980	BRD9 bromodomain containing 9	597	5	5	22
445	ASS1 argininosuccinate synthase 1	412	5	3	17
65982	ZSCAN18 zinc finger and SCAN domain containing 18	566	12	5	11
65983	GRAMD2B GRAM domain containing 2B	440	23	17	26
65985	AACS acetoacetyl-CoA synthetase	672	4	4	20
65986	ZBTB10 zinc finger and BTB domain containing 10	847	3	3	9
65987	KCTD14 potassium channel tetramerization domain containing 14	255	2	2	2
65988	ZNF747 zinc finger protein 747	331	4	4	5
65989	DLK2 delta like non-canonical Notch ligand 2	383	7	6	10
65990	FAM173A family with sequence similarity 173 member A	235	2	2	5
65991	FUNDC2 FUN14 domain containing 2	189	1	1	5
65992	DDRGK1 DDRGK domain containing 1	314	1	1	9
65993	MRPS34 mitochondrial ribosomal protein S34	225	3	3	6
460	ASTN1 astrotactin 1	1294	5	5	29
65997	RASL11B RAS like family 11 member B	248	1	1	4
462	SERPINC1 serpin family C member 1	464	2	2	7
65999	LRRC61 leucine rich repeat containing 61	259	3	1	1
66000	TMEM108 transmembrane protein 108	575	8	3	6
66002	CYP4F12 cytochrome P450 family 4 subfamily F member 12	524	9	5	16
467	ATF3 activating transcription factor 3	106	8	4	9
66004	LYNX1 Ly6/neurotoxin 1	116	3	1	3
66005	CHID1 chitinase domain containing 1	418	15	9	18
471	ATIC 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	592	2	2	18
131544	CRYBG3 crystallin beta-gamma domain containing 3	2970	2	2	23
473	RERE arginine-glutamic acid dipeptide repeats	1566	9	5	24
474	ATOH1 atonal bHLH transcription factor 1	354	1	1	1
475	ATOX1 antioxidant 1 copper chaperone	68	1	1	3
476	ATP1A1 ATPase Na+/K+ transporting subunit alpha 1	1023	5	3	24
477	ATP1A2 ATPase Na+/K+ transporting subunit alpha 2	1020	1	1	23
478	ATP1A3 ATPase Na+/K+ transporting subunit alpha 3	1026	3	3	25
479	ATP12A ATPase H+/K+ transporting non-gastric alpha2 subunit	1045	2	2	24
480	ATP1A4 ATPase Na+/K+ transporting subunit alpha 4	1029	3	3	24
481	ATP1B1 ATPase Na+/K+ transporting subunit beta 1	303	1	1	6
482	ATP1B2 ATPase Na+/K+ transporting subunit beta 2	290	2	2	7
483	ATP1B3 ATPase Na+/K+ transporting subunit beta 3	279	1	1	7
486	FXYD2 FXYD domain containing ion transport regulator 2	66	2	2	6
487	ATP2A1 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	1001	3	3	23
488	ATP2A2 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	997	4	3	25
489	ATP2A3 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	1052	16	15	34
490	ATP2B1 ATPase plasma membrane Ca2+ transporting 1	1176	7	7	26
491	ATP2B2 ATPase plasma membrane Ca2+ transporting 2	1243	17	10	27
492	ATP2B3 ATPase plasma membrane Ca2+ transporting 3	1173	9	7	24
493	ATP2B4 ATPase plasma membrane Ca2+ transporting 4	1170	2	2	21
131566	DCBLD2 discoidin, CUB and LCCL domain containing 2	775	2	2	18
495	ATP4A ATPase H+/K+ transporting alpha subunit	1035	1	1	22
496	ATP4B ATPase H+/K+ transporting beta subunit	291	1	1	7
498	ATP5F1A ATP synthase F1 subunit alpha	553	6	4	16
66035	SLC2A11 solute carrier family 2 member 11	503	4	4	17
66036	MTMR9 myotubularin related protein 9	549	4	4	13
66037	BOLL boule homolog, RNA binding protein	339	10	10	18
100532726	NDUFC2-KCTD14 NDUFC2-KCTD14 readthrough	134	3	3	4
23135	KDM6B lysine demethylase 6B	1682	9	2	22
131578	LRRC15 leucine rich repeat containing 15	587	2	2	2
100532731	COMMD3-BMI1 COMMD3-BMI1 readthrough	469	1	1	14
509	ATP5F1C ATP synthase F1 subunit gamma	298	4	4	9
131583	FAM43A family with sequence similarity 43 member A	423	1	1	1
100532736	MINOS1-NBL1 MINOS1-NBL1 readthrough	195	2	2	4
513	ATP5F1D ATP synthase F1 subunit delta	168	2	1	5
514	ATP5F1E ATP synthase F1 subunit epsilon	51	1	1	2
515	ATP5PB ATP synthase peripheral stalk-membrane subunit b	256	1	1	7
516	ATP5MC1 ATP synthase membrane subunit c locus 1	136	2	1	4
517	ATP5MC2 ATP synthase membrane subunit c locus 2	198	5	3	9
518	ATP5MC3 ATP synthase membrane subunit c locus 3	142	3	2	6
653604	HIST2H3D histone cluster 2 H3 family member d	136	1	1	1
521	ATP5ME ATP synthase membrane subunit e	69	1	1	4
522	ATP5PF ATP synthase peripheral stalk subunit F6	116	7	2	4
523	ATP6V1A ATPase H+ transporting V1 subunit A	617	1	1	14
22931	RAB18 RAB18, member RAS oncogene family	235	5	5	9
525	ATP6V1B1 ATPase H+ transporting V1 subunit B1	513	2	2	15
526	ATP6V1B2 ATPase H+ transporting V1 subunit B2	511	1	1	14
527	ATP6V0C ATPase H+ transporting V0 subunit c	155	2	1	4
528	ATP6V1C1 ATPase H+ transporting V1 subunit C1	382	1	1	12
529	ATP6V1E1 ATPase H+ transporting V1 subunit E1	226	3	3	9
533	ATP6V0B ATPase H+ transporting V0 subunit b	205	3	3	9
534	ATP6V1G2 ATPase H+ transporting V1 subunit G2	118	3	3	5
535	ATP6V0A1 ATPase H+ transporting V0 subunit a1	837	16	15	24
338692	ANKRD13D ankyrin repeat domain 13D	605	5	4	18
538	ATP7A ATPase copper transporting alpha	1500	2	2	22
539	ATP5PO ATP synthase peripheral stalk subunit OSCP	213	1	1	7
540	ATP7B ATPase copper transporting beta	1354	19	13	26
26205	GMEB2 glucocorticoid modulatory element binding protein 2	530	4	2	12
131616	TMEM42 transmembrane protein 42	159	1	1	3
545	ATR ATR serine/threonine kinase	2644	5	5	50
546	ATRX ATRX, chromatin remodeler	2492	21	21	40
547	KIF1A kinesin family member 1A	1791	21	17	52
549	AUH AU RNA binding methylglutaconyl-CoA hydratase	339	14	13	22
550	AUP1 AUP1, lipid droplet regulating VLDL assembly factor	410	2	2	15
551	AVP arginine vasopressin	164	2	1	5
552	AVPR1A arginine vasopressin receptor 1A	418	1	1	2
553	AVPR1B arginine vasopressin receptor 1B	424	1	1	2
554	AVPR2 arginine vasopressin receptor 2	371	3	2	5
164395	TTLL9 tubulin tyrosine ligase like 9	439	41	30	26
558	AXL AXL receptor tyrosine kinase	894	3	3	20
93	ACVR2B activin A receptor type 2B	512	5	5	15
563	AZGP1 alpha-2-glycoprotein 1, zinc-binding	298	1	1	4
566	AZU1 azurocidin 1	251	1	1	5
567	B2M beta-2-microglobulin	119	2	2	5
570	BAAT bile acid-CoA:amino acid N-acyltransferase	418	2	1	3
571	BACH1 BTB domain and CNC homolog 1	736	2	1	4
572	BAD BCL2 associated agonist of cell death	168	2	1	4
573	BAG1 BCL2 associated athanogene 1	345	2	2	7
575	ADGRB1 adhesion G protein-coupled receptor B1	1584	10	9	39
576	ADGRB2 adhesion G protein-coupled receptor B2	1584	19	16	39
577	ADGRB3 adhesion G protein-coupled receptor B3	1522	12	11	34
578	BAK1 BCL2 antagonist/killer 1	211	3	2	7
579	NKX3-2 NK3 homeobox 2	333	1	1	2
580	BARD1 BRCA1 associated RING domain 1	777	7	7	15
581	BAX BCL2 associated X, apoptosis regulator	221	9	9	9
582	BBS1 Bardet-Biedl syndrome 1	593	1	1	17
583	BBS2 Bardet-Biedl syndrome 2	721	2	2	19
585	BBS4 Bardet-Biedl syndrome 4	519	11	5	18
586	BCAT1 branched chain amino acid transaminase 1	398	6	6	15
587	BCAT2 branched chain amino acid transaminase 2	392	3	3	11
256435	ST6GALNAC3 ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	305	9	7	12
590	BCHE butyrylcholinesterase	602	2	2	4
593	BCKDHA branched chain keto acid dehydrogenase E1, alpha polypeptide	445	2	2	10
594	BCKDHB branched chain keto acid dehydrogenase E1 subunit beta	392	8	6	16
595	CCND1 cyclin D1	295	1	1	5
