Type	N	C	B
Both_coding	12875,0.4	5470,0.301	1104,0.193
CParent_NCchild	3270,0.102	861,0.047	937,0.164
NCParent_Cchild	4691,0.146	9250,0.508	1083,0.19
Both_NonCoding	11339,0.352	2616,0.144	2586,0.453


N segregation
Type	Total	Freq
relevant	5686	0.44
ATIT:Same_amino_acid	6698	0.52
ATIT:Diff_amino_acid	58	0.0
Variation_in_coding_coods	217	0.02
pseudoC	0	0.0
pseudoN	0	0.0
No_overlap_exists	216	0.02


C segregation
Type	Total	Freq
relevant	3066	0.56
ATIT:Same_amino_acid	1824	0.33
ATIT:Diff_amino_acid	60	0.01
Variation_in_coding_coods	359	0.07
pseudoC	0	0.0
pseudoN	0	0.0
No_overlap_exists	161	0.03


B segregation
Type	Total	Freq
relevant	291	0.26
ATIT:Same_amino_acid	18	0.02
ATIT:Diff_amino_acid	4	0.0
Variation_in_coding_coods	0	0.0
pseudoC	244	0.22
pseudoN	126	0.11
No_overlap_exists	421	0.38


For N from total relevant :5686 cases 1440(0.253) have length change of -2 to 2
For C from total relevant :3066 cases 312(0.102) have length change of -2 to 2
For B from total relevant :291 cases 24(0.082) have length change of -2 to 2
All genes in which N cases are presnet are:6599
Genes in which N cases are presnet and both coding with length out of -2 to 2 arr:4243
All genes in which C cases are presnet are:3374
Genes in which C cases are presnet and both coding with length out of -2 to 2 arr:2754
All genes in which B cases are presnet are:767
Genes in which B cases are presnet and both coding with length out of -2 to 2 arr:279
All genes in which NCB union cases are presnet are:8222
Genes in which uninon NCB cases are presnet and both coding with length out of -2 to 2 arr:7275
All genes in which NCB intersection cases are presnet are:277
Genes in which intersection NCB cases are presnet and both coding with length out of -2 to 2 arr:0

Genes_list_N
Gene	Length	Structure	Variants	Name
7292	3	XP_011508266.2	1.0	TNFSF4 TNF superfamily member 4
83546	10	XP_016882832.1	False	RTBDN retbindin
116113	7	XP_011512595.1	1.0	FOXP4 forkhead box P4
201292	13	XP_011522805.1	1.0	TRIM65 tripartite motif containing 65
4793	-18	XP_006723290.3	1.0	NFKBIB NFKB inhibitor beta
10509	-40	NP_001310963.1	False	SEMA4B semaphorin 4B
6457	-7	NP_001311114.1	1.0	SH3GL3 SH3 domain containing GRB2 like 3, endophilin A3
55200	-15	XP_011519269.1	1.0	PLEKHG6 pleckstrin homology and RhoGEF domain containing G6
197358	9	XP_016878528.1	1.0	NLRC3 NLR family CARD domain containing 3
401258	-11	XP_011512904.1	1.0	RAB44 RAB44, member RAS oncogene family
7629	4	XP_016866746.1	1.0	ZNF76 zinc finger protein 76
283629	-10	NP_777604.2	1.0	TSSK4 testis specific serine kinase 4
83931	-5	NP_001269476.1	1.0	STK40 serine/threonine kinase 40
255101	-36	XP_011509218.1	1.0	CFAP65 cilia and flagella associated protein 65
27030	5	XP_011534948.1	1.0	MLH3 mutL homolog 3
200942	7	XP_006713078.1	1.0	KLHDC8B kelch domain containing 8B
57696	-62	XP_016875208.1	1.0	DDX55 DEAD-box helicase 55
283129	-4	XP_011543243.1	False	MAJIN membrane anchored junction protein
387	18	NP_001300873.1	1.0	RHOA ras homolog family member A
199990	-7	XP_011539216.1	False	FAAP20 Fanconi anemia core complex associated protein 20
55016	37	NP_060393.1	1.0	MARCH1 membrane associated ring-CH-type finger 1
54923	-11	NP_001292583.1	False	LIME1 Lck interacting transmembrane adaptor 1
840	-11	XP_011538562.1	1.0	CASP7 caspase 7
6474	-12	XP_016862543.1	1.0	SHOX2 short stature homeobox 2
2617	-54	NP_001303701.1	1.0	GARS glycyl-tRNA synthetase
168002	-44	NP_001273279.1	False	DACT2 dishevelled binding antagonist of beta catenin 2
7784	-51	NP_009086.4	1.0	ZP3 zona pellucida glycoprotein 3
25875	-11	XP_016874643.1	False	LETMD1 LETM1 domain containing 1
23421	122	XP_006710577.3	False	ITGB3BP integrin subunit beta 3 binding protein
64429	-30	XP_011538394.1	False	ZDHHC6 zinc finger DHHC-type containing 6
84932	-15	XP_016877201.1	1.0	RAB2B RAB2B, member RAS oncogene family
6944	-11	NP_005988.1	False	VPS72 vacuolar protein sorting 72 homolog
6396	-43	NP_109598.2	1.0	SEC13 SEC13 homolog, nuclear pore and COPII coat complex component
55916	-23	NP_001229546.1	1.0	NXT2 nuclear transport factor 2 like export factor 2
1639	4	NP_001128513.1	1.0	DCTN1 dynactin subunit 1
90835	33	XP_016879351.1	False	CCDC189 coiled-coil domain containing 189
53616	80	XP_006716091.1	1.0	ADAM22 ADAM metallopeptidase domain 22
9455	-11	XP_005272506.1	1.0	HOMER2 homer scaffolding protein 2
84364	-5	XP_016873903.1	1.0	ARFGAP2 ADP ribosylation factor GTPase activating protein 2
127003	10	XP_011538950.1	False	C1orf194 chromosome 1 open reading frame 194
285848	18	NP_001139188.1	1.0	PNPLA1 patatin like phospholipase domain containing 1
3567	8	XP_005272045.1	1.0	IL5 interleukin 5
9684	-39	XP_005272417.1	1.0	LRRC14 leucine rich repeat containing 14
51222	5	XP_011535127.1	1.0	ZNF219 zinc finger protein 219
100653515	-43	NP_001230470.1	False	CEP295NL CEP295 N-terminal like
25823	49	XP_011520749.1	False	TPSG1 tryptase gamma 1
9610	-62	XP_011543702.1	1.0	RIN1 Ras and Rab interactor 1
120863	-67	XP_016874271.1	1.0	DEPDC4 DEP domain containing 4
9152	-8	XP_016874033.1	False	SLC6A5 solute carrier family 6 member 5
8838	-18	XP_011534522.1	1.0	WISP3 WNT1 inducible signaling pathway protein 3
11148	88	XP_011510669.1	1.0	HHLA2 HERV-H LTR-associating 2
80835	66	XP_016857891.1	1.0	TAS1R1 taste 1 receptor member 1
221938	-24	NP_001257304.1	False	MMD2 monocyte to macrophage differentiation associated 2
10900	-5	XP_016879526.1	1.0	RUNDC3A RUN domain containing 3A
1468	28	XP_016879709.1	1.0	SLC25A10 solute carrier family 25 member 10
83445	8	XP_011519165.1	False	GSG1 germ cell associated 1
10841	40	XP_011527742.1	1.0	FTCD formimidoyltransferase cyclodeaminase
60626	-6	XP_016873596.1	1.0	RIC8A RIC8 guanine nucleotide exchange factor A
125875	15	XP_016881736.1	1.0	CLDND2 claudin domain containing 2
84765	-59	NP_001129062.1	1.0	ZNF577 zinc finger protein 577
285848	18	XP_016866267.1	1.0	PNPLA1 patatin like phospholipase domain containing 1
146956	-13	NP_689676.2	1.0	EME1 essential meiotic structure-specific endonuclease 1
9722	-5	NP_001158229.1	1.0	NOS1AP nitric oxide synthase 1 adaptor protein
84923	-27	NP_001276340.1	False	FAM104A family with sequence similarity 104 member A
79608	28	XP_016873776.1	False	RIC3 RIC3 acetylcholine receptor chaperone
5211	-40	XP_016883858.1	1.0	PFKL phosphofructokinase, liver type
54764	12	XP_005269982.1	1.0	ZRANB1 zinc finger RANBP2-type containing 1
79998	-34	XP_005264626.1	1.0	ANKRD53 ankyrin repeat domain 53
84271	-17	NP_115687.2	1.0	POLDIP3 DNA polymerase delta interacting protein 3
84144	197	XP_016857973.1	1.0	SYDE2 synapse defective Rho GTPase homolog 2
33	-17	XP_016859444.1	1.0	ACADL acyl-CoA dehydrogenase long chain
402569	8	XP_016867700.1	1.0	KPNA7 karyopherin subunit alpha 7
157777	-23	XP_006716490.1	1.0	MCMDC2 minichromosome maintenance domain containing 2
5015	-8	NP_001257452.1	1.0	OTX2 orthodenticle homeobox 2
8798	-26	NP_001269214.1	1.0	DYRK4 dual specificity tyrosine phosphorylation regulated kinase 4
285941	-32	XP_016867502.1	False	C7orf71 chromosome 7 open reading frame 71
6528	11	XP_011526494.1	1.0	SLC5A5 solute carrier family 5 member 5
10321	-10	NP_006052.2	False	CRISP3 cysteine rich secretory protein 3
284358	63	XP_011525110.1	1.0	MAMSTR MEF2 activating motif and SAP domain containing transcriptional regulator
282969	11	XP_011537974.1	1.0	FUOM fucose mutarotase
146956	-13	XP_005257138.1	1.0	EME1 essential meiotic structure-specific endonuclease 1
23542	-44	XP_011528983.1	1.0	MAPK8IP2 mitogen-activated protein kinase 8 interacting protein 2
22936	-25	XP_016864732.1	1.0	ELL2 elongation factor for RNA polymerase II 2
340390	-19	XP_016868876.1	1.0	WDR97 WD repeat domain 97
5527	13	NP_002710.2	1.0	PPP2R5C protein phosphatase 2 regulatory subunit B'gamma
83697	24	XP_016865422.1	1.0	SLC4A9 solute carrier family 4 member 9
84187	-129	XP_016885389.1	False	TMEM164 transmembrane protein 164
1101	81	XP_011522516.1	1.0	CHAD chondroadherin
10014	-9	XP_016879482.1	1.0	HDAC5 histone deacetylase 5
57688	-105	XP_016865166.1	False	ZSWIM6 zinc finger SWIM-type containing 6
92002	-20	NP_001124469.1	1.0	CCNQ cyclin Q
55180	-36	XP_016877889.1	False	LINS1 lines homolog 1
23647	-33	NP_036534.1	1.0	ARFIP2 ADP ribosylation factor interacting protein 2
84513	37	XP_011542972.1	1.0	PLPP5 phospholipid phosphatase 5
84867	-32	NP_001265168.1	1.0	PTPN5 protein tyrosine phosphatase, non-receptor type 5
161497	9	XP_016877445.1	False	STRC stereocilin
4968	-16	XP_016861987.1	1.0	OGG1 8-oxoguanine DNA glycosylase
6455	-34	NP_001186873.1	1.0	SH3GL1 SH3 domain containing GRB2 like 1, endophilin A2
9567	8	XP_016884591.1	1.0	GTPBP1 GTP binding protein 1
285141	-130	XP_016859366.1	False	ERICH2 glutamate rich 2
494513	-7	XP_011509549.1	False	PJVK pejvakin
8555	121	XP_011517454.1	1.0	CDC14B cell division cycle 14B
55251	-27	NP_001098395.1	1.0	PCMTD2 protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
90326	-50	XP_011540702.1	1.0	THAP3 THAP domain containing 3
51744	-5	XP_011507924.1	1.0	CD244 CD244 molecule
79729	-36	NP_078952.4	False	SH3D21 SH3 domain containing 21
117289	-14	NP_001265662.1	1.0	TAGAP T cell activation RhoGTPase activating protein
83549	-14	NP_001129426.1	1.0	UCK1 uridine-cytidine kinase 1
56970	7	XP_016880370.1	1.0	ATXN7L3 ataxin 7 like 3
7478	-41	XP_011541927.2	1.0	WNT8A Wnt family member 8A
8458	7	XP_011540605.1	1.0	TTF2 transcription termination factor 2
54778	8	XP_011519996.2	1.0	RNF111 ring finger protein 111
3483	-38	NP_004961.1	1.0	IGFALS insulin like growth factor binding protein acid labile subunit
1893	-29	NP_004416.2	1.0	ECM1 extracellular matrix protein 1
51710	-48	XP_005259991.1	1.0	ZNF44 zinc finger protein 44
161497	-373	XP_016877451.1	False	STRC stereocilin
84886	-38	NP_001129966.1	False	C1orf198 chromosome 1 open reading frame 198
23144	31	XP_006716599.2	1.0	ZC3H3 zinc finger CCCH-type containing 3
51105	4	XP_011515390.1	1.0	PHF20L1 PHD finger protein 20 like 1
51203	-15	XP_016877783.1	False	NUSAP1 nucleolar and spindle associated protein 1
51693	-6	NP_057293.1	1.0	TRAPPC2L trafficking protein particle complex 2 like
51339	-37	NP_001072988.1	False	DACT1 dishevelled binding antagonist of beta catenin 1
387775	-52	XP_016873188.1	1.0	SLC22A10 solute carrier family 22 member 10
10250	-30	XP_016855523.1	1.0	SRRM1 serine and arginine repetitive matrix 1
23265	-28	XP_011522874.1	1.0	EXOC7 exocyst complex component 7
203197	14	XP_011516656.1	False	TMEM268 transmembrane protein 268
55248	36	XP_011508019.1	False	TMEM206 transmembrane protein 206
5571	-10	XP_016875112.1	1.0	PRKAG1 protein kinase AMP-activated non-catalytic subunit gamma 1
84069	12	XP_011540550.2	False	PLEKHN1 pleckstrin homology domain containing N1
134218	87	XP_011512267.2	1.0	DNAJC21 DnaJ heat shock protein family (Hsp40) member C21
284371	6	XP_016882148.1	1.0	ZNF841 zinc finger protein 841
164118	-34	XP_016855986.1	1.0	TTC24 tetratricopeptide repeat domain 24
352909	-21	NP_001243644.1	False	DNAAF3 dynein axonemal assembly factor 3
10548	-87	NP_001275935.1	False	TM9SF1 transmembrane 9 superfamily member 1
136288	-16	NP_001254795.1	False	C7orf57 chromosome 7 open reading frame 57
27154	-11	XP_016866232.1	1.0	BRPF3 bromodomain and PHD finger containing 3
55225	13	XP_011540008.1	1.0	RAVER2 ribonucleoprotein, PTB binding 2
11047	7	XP_016883095.1	1.0	ADRM1 adhesion regulating molecule 1
201514	8	NP_775819.1	1.0	ZNF584 zinc finger protein 584
158401	-51	XP_011516608.1	False	C9orf84 chromosome 9 open reading frame 84
89790	-58	NP_001164630.1	1.0	SIGLEC10 sialic acid binding Ig like lectin 10
65249	16	XP_016882645.1	False	ZSWIM4 zinc finger SWIM-type containing 4
55111	-19	XP_016882416.1	1.0	PLEKHJ1 pleckstrin homology domain containing J1
149998	29	XP_006724028.1	1.0	LIPI lipase I
8877	-65	NP_001136074.1	1.0	SPHK1 sphingosine kinase 1
6885	-16	XP_016866715.1	1.0	MAP3K7 mitogen-activated protein kinase kinase kinase 7
2323	-18	XP_011524980.1	1.0	FLT3LG fms related tyrosine kinase 3 ligand
546	-380	XP_016885099.1	False	ATRX ATRX, chromatin remodeler
150709	-152	XP_011508987.1	1.0	ANKAR ankyrin and armadillo repeat containing
10051	-25	NP_001275682.1	1.0	SMC4 structural maintenance of chromosomes 4
132243	-13	XP_016861222.1	1.0	H1FOO H1 histone family member O oocyte specific
729475	-9	NP_001308162.1	False	RAD51AP2 RAD51 associated protein 2
23590	-14	NP_001308908.1	1.0	PDSS1 decaprenyl diphosphate synthase subunit 1
9093	-44	NP_001273445.1	1.0	DNAJA3 DnaJ heat shock protein family (Hsp40) member A3
84069	12	XP_006711007.2	False	PLEKHN1 pleckstrin homology domain containing N1
11212	35	XP_016868490.1	1.0	PLPBP pyridoxal phosphate binding protein
4938	-16	XP_016874851.1	1.0	OAS1 2'-5'-oligoadenylate synthetase 1
2323	-18	XP_016882024.1	1.0	FLT3LG fms related tyrosine kinase 3 ligand
89777	6	XP_011524548.1	1.0	SERPINB12 serpin family B member 12
23567	16	NP_001295147.1	1.0	ZNF346 zinc finger protein 346
3326	-4	NP_001258900.1	1.0	HSP90AB1 heat shock protein 90 alpha family class B member 1
10001	7	NP_001271138.1	1.0	MED6 mediator complex subunit 6
81031	17	XP_011527364.1	1.0	SLC2A10 solute carrier family 2 member 10
83985	5	XP_016879246.1	1.0	SPNS1 sphingolipid transporter 1 (putative)
146722	4	XP_016879702.1	1.0	CD300LF CD300 molecule like family member f
84691	-20	NP_001269718.1	False	FAM71F1 family with sequence similarity 71 member F1
150356	127	XP_011528235.1	1.0	CHADL chondroadherin like
7216	-29	XP_016885262.1	1.0	TRO trophinin
283229	-9	XP_016873071.1	1.0	CRACR2B calcium release activated channel regulator 2B
6440	-6	NP_001304707.1	False	SFTPC surfactant protein C
7430	-8	XP_011534412.1	1.0	EZR ezrin
132014	-14	XP_011531664.1	1.0	IL17RE interleukin 17 receptor E
4037	15	XP_005259002.1	1.0	LRP3 LDL receptor related protein 3
5047	24	XP_011517048.1	1.0	PAEP progestagen associated endometrial protein
858	-33	NP_001193677.1	False	CAV2 caveolin 2
8277	-11	NP_001139406.1	1.0	TKTL1 transketolase like 1
84722	43	NP_116025.1	False	PSRC1 proline and serine rich coiled-coil 1
860	5	XP_016866881.1	1.0	RUNX2 runt related transcription factor 2
2000	5	XP_011529610.1	1.0	ELF4 E74 like ETS transcription factor 4
51530	37	XP_016867776.1	False	ZC3HC1 zinc finger C3HC-type containing 1
25778	-79	XP_011507696.1	1.0	DSTYK dual serine/threonine and tyrosine protein kinase
10963	-24	NP_001269582.1	1.0	STIP1 stress induced phosphoprotein 1
1584	23	XP_011515177.1	1.0	CYP11B1 cytochrome P450 family 11 subfamily B member 1
255119	8	XP_016863465.1	False	CFAP299 cilia and flagella associated protein 299
3077	-14	NP_620575.1	1.0	HFE hemochromatosis
79089	-129	XP_011523512.1	1.0	TMUB2 transmembrane and ubiquitin like domain containing 2
8649	-7	NP_001230665.1	1.0	LAMTOR3 late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
401565	-16	XP_016870207.1	False	FAM166A family with sequence similarity 166 member A
283149	25	XP_016873061.1	1.0	BCL9L B cell CLL/lymphoma 9 like
84944	-16	XP_006711646.1	1.0	MAEL maelstrom spermatogenic transposon silencer
2879	7	NP_001034936.1	False	GPX4 glutathione peroxidase 4
10450	-13	XP_006710352.1	1.0	PPIE peptidylprolyl isomerase E
388559	-19	XP_016882288.1	1.0	ZNF888 zinc finger protein 888
23144	14	XP_011515245.1	1.0	ZC3H3 zinc finger CCCH-type containing 3
84190	-9	XP_016875510.1	1.0	METTL25 methyltransferase like 25
23063	-6	NP_001305257.1	1.0	WAPL WAPL cohesin release factor
116444	-186	XP_016881732.1	1.0	GRIN3B glutamate ionotropic receptor NMDA type subunit 3B
22828	17	NP_001273117.1	1.0	SCAF8 SR-related CTD associated factor 8
196446	-22	XP_016874457.1	False	MYRFL myelin regulatory factor-like
50636	13	XP_016859718.1	False	ANO7 anoctamin 7
1748	22	NP_001925.2	1.0	DLX4 distal-less homeobox 4
133874	7	XP_016864519.1	False	C5orf58 chromosome 5 open reading frame 58
9926	-9	XP_011508530.1	False	LPGAT1 lysophosphatidylglycerol acyltransferase 1
8564	40	XP_005273394.1	1.0	KMO kynurenine 3-monooxygenase
2215	-36	NP_000561.3	False	FCGR3B Fc fragment of IgG receptor IIIb
89790	-48	NP_001164629.1	1.0	SIGLEC10 sialic acid binding Ig like lectin 10
3866	7	XP_011523086.1	False	KRT15 keratin 15
200172	-59	NP_001287788.1	1.0	SLFNL1 schlafen like 1
84069	108	XP_011540550.2	False	PLEKHN1 pleckstrin homology domain containing N1
27018	-10	NP_055195.1	False	BEX3 brain expressed X-linked 3
1089	18	XP_016881700.1	1.0	CEACAM4 carcinoembryonic antigen related cell adhesion molecule 4
7991	-10	XP_016869350.1	1.0	TUSC3 tumor suppressor candidate 3
60598	70	XP_016883492.1	False	KCNK15 potassium two pore domain channel subfamily K member 15
57645	-286	XP_011508117.1	1.0	POGK pogo transposable element derived with KRAB domain
10864	-87	XP_016865689.1	1.0	SLC22A7 solute carrier family 22 member 7
7849	-26	NP_039246.1	1.0	PAX8 paired box 8
285941	-24	XP_016867503.1	False	C7orf71 chromosome 7 open reading frame 71
9754	4	XP_005262371.1	1.0	STARD8 StAR related lipid transfer domain containing 8
84656	22	NP_001311027.1	False	GLYR1 glyoxylate reductase 1 homolog
1089	18	XP_016881690.1	1.0	CEACAM4 carcinoembryonic antigen related cell adhesion molecule 4
79989	-7	NP_001305262.1	1.0	TTC26 tetratricopeptide repeat domain 26
25777	-21	XP_011528406.1	1.0	SUN2 Sad1 and UNC84 domain containing 2
2232	6	XP_011522831.1	False	FDXR ferredoxin reductase
54332	156	XP_016869074.1	1.0	GDAP1 ganglioside induced differentiation associated protein 1
127281	-18	NP_001182666.1	False	FAM213B family with sequence similarity 213 member B
246175	11	XP_011530109.1	1.0	CNOT6L CCR4-NOT transcription complex subunit 6 like
50863	-27	XP_005271639.1	1.0	NTM neurotrimin
102724488	122	XP_011538740.1	1.0	LOC102724488 synaptotagmin-15
8915	-11	NP_001307644.1	1.0	BCL10 B cell CLL/lymphoma 10
285761	47	XP_005266998.1	False	DCBLD1 discoidin, CUB and LCCL domain containing 1
7046	-4	XP_011517251.1	1.0	TGFBR1 transforming growth factor beta receptor 1
25820	-115	XP_011519741.1	1.0	ARIH1 ariadne RBR E3 ubiquitin protein ligase 1
117532	52	XP_005260717.1	False	TMC2 transmembrane channel like 2
54963	8	XP_011527171.1	1.0	UCKL1 uridine-cytidine kinase 1 like 1
100287171	14	XP_016869659.1	False	WASHC1 WASH complex subunit 1
912	-84	XP_005245640.1	1.0	CD1D CD1d molecule
7988	42	XP_005250112.2	1.0	ZNF212 zinc finger protein 212
4351	-15	XP_011519895.1	1.0	MPI mannose phosphate isomerase
100190949	74	XP_016864398.1	False	C5orf52 chromosome 5 open reading frame 52
146802	36	XP_016879712.1	False	SLC47A2 solute carrier family 47 member 2
10015	-5	XP_016860977.1	1.0	PDCD6IP programmed cell death 6 interacting protein
23492	-93	XP_005261470.1	1.0	CBX7 chromobox 7
79142	-67	NP_001271446.1	1.0	PHF23 PHD finger protein 23
7629	4	XP_011513158.1	1.0	ZNF76 zinc finger protein 76
3581	-10	NP_789743.2	1.0	IL9R interleukin 9 receptor
6257	-45	XP_016866665.1	1.0	RXRB retinoid X receptor beta
7750	-254	XP_016876226.1	False	ZMYM2 zinc finger MYM-type containing 2
31	-30	XP_016880043.1	1.0	ACACA acetyl-CoA carboxylase alpha
7586	-36	NP_001273983.1	1.0	ZKSCAN1 zinc finger with KRAB and SCAN domains 1
51374	-55	NP_001164266.1	False	ATRAID all-trans retinoic acid induced differentiation factor
64429	-30	XP_011538396.1	False	ZDHHC6 zinc finger DHHC-type containing 6
83637	-32	XP_005249928.1	1.0	ZMIZ2 zinc finger MIZ-type containing 2
152816	-92	NP_001244001.1	False	ODAPH odontogenesis associated phosphoprotein
57010	17	XP_016873514.1	1.0	CABP4 calcium binding protein 4
84060	-26	XP_016868198.1	False	RBM48 RNA binding motif protein 48
25777	-21	NP_056189.1	1.0	SUN2 Sad1 and UNC84 domain containing 2
9786	-9	NP_055564.3	False	KIAA0586 KIAA0586
5899	52	XP_016860110.1	1.0	RALB RAS like proto-oncogene B
442038	45	XP_016859643.1	1.0	SULT1C3 sulfotransferase family 1C member 3
51399	-18	NP_001305418.1	1.0	TRAPPC4 trafficking protein particle complex 4
286256	28	XP_011516863.2	1.0	LCN12 lipocalin 12
3682	17	XP_011522129.1	1.0	ITGAE integrin subunit alpha E
7770	-31	NP_001276096.1	1.0	ZNF227 zinc finger protein 227
113220	11	XP_011516493.1	False	KIF12 kinesin family member 12
256714	11	XP_011543788.1	False	MAP7D2 MAP7 domain containing 2
57862	-9	NP_001229857.1	1.0	ZNF410 zinc finger protein 410
7678	-31	XP_005273314.1	1.0	ZNF124 zinc finger protein 124
83714	-50	XP_016875490.1	1.0	NRIP2 nuclear receptor interacting protein 2
1355	-47	XP_016871204.1	False	COX15 COX15, cytochrome c oxidase assembly homolog
1889	34	NP_001106818.1	1.0	ECE1 endothelin converting enzyme 1
55120	-24	XP_011531246.1	1.0	FANCL Fanconi anemia complementation group L
390877	44	XP_016882293.1	False	LOC390877 adenylate kinase isoenzyme 1-like
132612	-11	XP_005262801.1	1.0	ADAD1 adenosine deaminase domain containing 1
115727	-14	NP_001139674.1	1.0	RASGRP4 RAS guanyl releasing protein 4
22828	-18	NP_001273128.1	1.0	SCAF8 SR-related CTD associated factor 8
84164	-23	NP_001229835.1	1.0	ASCC2 activating signal cointegrator 1 complex subunit 2
946	11	NP_001171019.1	1.0	SIGLEC6 sialic acid binding Ig like lectin 6
3866	7	XP_016880103.1	False	KRT15 keratin 15
140807	-99	XP_016874325.1	1.0	KRT72 keratin 72
50632	38	NP_001308546.1	False	CALY calcyon neuron specific vesicular protein
23640	-7	XP_011524993.1	1.0	HSPBP1 HSPA (Hsp70) binding protein 1
4277	-43	NP_001276090.1	False	MICB MHC class I polypeptide-related sequence B
256714	-8	XP_016884884.1	False	MAP7D2 MAP7 domain containing 2
8312	5	XP_011520986.1	1.0	AXIN1 axin 1
165082	-12	XP_016858995.1	1.0	ADGRF3 adhesion G protein-coupled receptor F3
79811	-18	XP_011520325.1	1.0	SLTM SAFB like transcription modulator
50636	9	XP_016859718.1	False	ANO7 anoctamin 7
126668	8	XP_011507454.1	1.0	TDRD10 tudor domain containing 10
284434	-273	XP_011526236.1	1.0	NWD1 NACHT and WD repeat domain containing 1
494513	-7	XP_016859710.1	False	PJVK pejvakin
84808	124	NP_001278295.1	False	PERM1 PPARGC1 and ESRR induced regulator, muscle 1
145376	-22	XP_005267412.1	False	PPP1R36 protein phosphatase 1 regulatory subunit 36
51298	36	XP_011526352.1	False	THEG theg spermatid protein
11012	24	NP_001161077.1	1.0	KLK11 kallikrein related peptidase 11
6528	11	XP_011526496.1	1.0	SLC5A5 solute carrier family 5 member 5
79176	26	XP_005270206.1	1.0	FBXL15 F-box and leucine rich repeat protein 15
282969	11	XP_011537976.1	1.0	FUOM fucose mutarotase
3636	22	XP_005274036.1	1.0	INPPL1 inositol polyphosphate phosphatase like 1
57704	23	XP_016870432.1	1.0	GBA2 glucosylceramidase beta 2
6804	-15	NP_001159375.1	1.0	STX1A syntaxin 1A
91833	-67	XP_016877260.1	1.0	WDR20 WD repeat domain 20
